PAIS,PAISNAME,PROVINCIA,PROVINCIANAME,DISTRITO,DISTRITONAME,CORREGCODE,CORREGIMIENTO
1,PANAMA,1,BOCAS DEL TORO,9,BOCAS DEL TORO,12,CAUCHERO
1,PANAMA,1,BOCAS DEL TORO,9,BOCAS DEL TORO,11,BASTIMENTOS
1,PANAMA,1,BOCAS DEL TORO,9,BOCAS DEL TORO,10,BOCAS DEL TORO
1,PANAMA,1,BOCAS DEL TORO,9,BOCAS DEL TORO,14,TIERRA OSCURA
1,PANAMA,1,BOCAS DEL TORO,9,BOCAS DEL TORO,13,PUNTA LAUREL
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,21,LAS TABLAS
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,20,EL EMPALME
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,18,EL TERIBE
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,17,GUABITO
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,16,ALMIRANTE
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,15,CHANGUINOLA
1,PANAMA,1,BOCAS DEL TORO,10,CHANGUINOLA,19,VALLE DEL RISCO
1,PANAMA,1,BOCAS DEL TORO,11,CHIRIQUI GRANDE,23,MIRAMAR
1,PANAMA,1,BOCAS DEL TORO,11,CHIRIQUI GRANDE,25,PUNTA PEÑA
1,PANAMA,1,BOCAS DEL TORO,11,CHIRIQUI GRANDE,26,PUNTA ROBALO
1,PANAMA,1,BOCAS DEL TORO,11,CHIRIQUI GRANDE,27,RAMBALA
1,PANAMA,1,BOCAS DEL TORO,11,CHIRIQUI GRANDE,22,CHIRIQUI GRANDE
1,PANAMA,2,COCLE,12,AGUADULCE,28,AGUADULCE
1,PANAMA,2,COCLE,12,AGUADULCE,29,EL CRISTO
1,PANAMA,2,COCLE,12,AGUADULCE,31,POCRI
1,PANAMA,2,COCLE,12,AGUADULCE,32,BARRIOS UNIDOS
1,PANAMA,2,COCLE,12,AGUADULCE,30,EL ROBLE
1,PANAMA,2,COCLE,13,ANTON,36,EL RETIRO
1,PANAMA,2,COCLE,13,ANTON,35,EL CHIRU
1,PANAMA,2,COCLE,13,ANTON,34,CABUYA
1,PANAMA,2,COCLE,13,ANTON,33,ANTON
1,PANAMA,2,COCLE,13,ANTON,37,EL VALLE
1,PANAMA,2,COCLE,13,ANTON,38,JUAN DIAZ
1,PANAMA,2,COCLE,13,ANTON,39,RIO HATO
1,PANAMA,2,COCLE,13,ANTON,40,SAN JUAN DE DIOS
1,PANAMA,2,COCLE,13,ANTON,42,CABALLERO
1,PANAMA,2,COCLE,13,ANTON,41,SANTA RITA
1,PANAMA,2,COCLE,14,LA PINTADA,48,LAS LOMAS
1,PANAMA,2,COCLE,14,LA PINTADA,47,PIEDRAS GORDAS
1,PANAMA,2,COCLE,14,LA PINTADA,46,LLANO GRANDE
1,PANAMA,2,COCLE,14,LA PINTADA,45,EL POTRERO
1,PANAMA,2,COCLE,14,LA PINTADA,44,EL HARINO
1,PANAMA,2,COCLE,14,LA PINTADA,43,LA PINTADA
1,PANAMA,2,COCLE,15,NATA,49,NATA
1,PANAMA,2,COCLE,15,NATA,54,TOZA
1,PANAMA,2,COCLE,15,NATA,52,GUZMAN
1,PANAMA,2,COCLE,15,NATA,51,EL CAÑO
1,PANAMA,2,COCLE,15,NATA,50,CAPELLANIA
1,PANAMA,2,COCLE,15,NATA,53,LAS HUACAS
1,PANAMA,2,COCLE,16,OLA,59,LA PAVA
1,PANAMA,2,COCLE,16,OLA,58,EL PICACHO
1,PANAMA,2,COCLE,16,OLA,57,EL PALMAR
1,PANAMA,2,COCLE,16,OLA,56,EL COPE
1,PANAMA,2,COCLE,16,OLA,55,OLA
1,PANAMA,2,COCLE,17,PENONOME,66,RIO GRANDE
1,PANAMA,2,COCLE,17,PENONOME,67,RIO INDIO
1,PANAMA,2,COCLE,17,PENONOME,68,TOABRE
1,PANAMA,2,COCLE,17,PENONOME,69,TULU
1,PANAMA,2,COCLE,17,PENONOME,64,EL COCO
1,PANAMA,2,COCLE,17,PENONOME,60,PENONOME
1,PANAMA,2,COCLE,17,PENONOME,61,CAÑAVERAL
1,PANAMA,2,COCLE,17,PENONOME,65,PAJONAL
1,PANAMA,2,COCLE,17,PENONOME,63,CHIRIQUI ARRIBA
1,PANAMA,2,COCLE,17,PENONOME,62,COCLE
1,PANAMA,3,COLON,18,COLON,73,CATIVA
1,PANAMA,3,COLON,18,COLON,72,BUENA VISTA
1,PANAMA,3,COLON,18,COLON,71,BARRIO SUR
1,PANAMA,3,COLON,18,COLON,70,BARRIO NORTE
1,PANAMA,3,COLON,18,COLON,74,CIRICITO
1,PANAMA,3,COLON,18,COLON,83,SANTA ROSA
1,PANAMA,3,COLON,18,COLON,75,CRISTOBAL
1,PANAMA,3,COLON,18,COLON,81,SALAMANCA
1,PANAMA,3,COLON,18,COLON,80,SABANITAS
1,PANAMA,3,COLON,18,COLON,79,PUERTO PILON
1,PANAMA,3,COLON,18,COLON,78,NUEVA PROVIDENCIA
1,PANAMA,3,COLON,18,COLON,77,LIMON
1,PANAMA,3,COLON,18,COLON,76,ESCOBAL
1,PANAMA,3,COLON,18,COLON,82,SAN JUAN
1,PANAMA,3,COLON,19,DONOSO,191,SAN JOSE DEL GENERAL
1,PANAMA,3,COLON,19,DONOSO,190,RIO INDIO
1,PANAMA,3,COLON,19,DONOSO,189,GOBEA
1,PANAMA,3,COLON,19,DONOSO,188,EL GUASIMO
1,PANAMA,3,COLON,19,DONOSO,186,MIGUEL DE LA BORDA
1,PANAMA,3,COLON,19,DONOSO,187,COCLE DEL NORTE
1,PANAMA,3,COLON,20,CHAGRES,90,SALUD
1,PANAMA,3,COLON,20,CHAGRES,89,PIÑA
1,PANAMA,3,COLON,20,CHAGRES,88,PALMAS BELLAS
1,PANAMA,3,COLON,20,CHAGRES,87,LA ENCANTADA
1,PANAMA,3,COLON,20,CHAGRES,86,EL GUABO
1,PANAMA,3,COLON,20,CHAGRES,85,ACHIOTE
1,PANAMA,3,COLON,20,CHAGRES,84,NUEVO CHAGRES
1,PANAMA,3,COLON,21,PORTOBELO,192,PORTOBELO
1,PANAMA,3,COLON,21,PORTOBELO,195,ISLA GRANDE
1,PANAMA,3,COLON,21,PORTOBELO,196,MARIA CHIQUITA
1,PANAMA,3,COLON,21,PORTOBELO,193,CACIQUE
1,PANAMA,3,COLON,21,PORTOBELO,194,GARROTE
1,PANAMA,3,COLON,34,SANTA ISABEL,204,VIENTO FRIO
1,PANAMA,3,COLON,34,SANTA ISABEL,203,SANTA ISABEL
1,PANAMA,3,COLON,34,SANTA ISABEL,202,PLAYA CHIQUITA
1,PANAMA,3,COLON,34,SANTA ISABEL,201,PALMIRA
1,PANAMA,3,COLON,34,SANTA ISABEL,197,PALENQUE
1,PANAMA,3,COLON,34,SANTA ISABEL,200,NOMBRE DE DIOS
1,PANAMA,3,COLON,34,SANTA ISABEL,199,MIRAMAR
1,PANAMA,3,COLON,34,SANTA ISABEL,198,CUANGO
1,PANAMA,4,CHIRIQUI,8,GUALACA,126,PAJA DE SOMBRERO
1,PANAMA,4,CHIRIQUI,8,GUALACA,125,LOS ANGELES
1,PANAMA,4,CHIRIQUI,8,GUALACA,124,HORNITO
1,PANAMA,4,CHIRIQUI,8,GUALACA,91,GUALACA
1,PANAMA,4,CHIRIQUI,8,GUALACA,127,RINCON
1,PANAMA,4,CHIRIQUI,22,ALANJE,177,ALANJE
1,PANAMA,4,CHIRIQUI,22,ALANJE,185,NUEVO MEXICO
1,PANAMA,4,CHIRIQUI,22,ALANJE,184,CANTA GALLO
1,PANAMA,4,CHIRIQUI,22,ALANJE,183,SANTO TOMAS
1,PANAMA,4,CHIRIQUI,22,ALANJE,182,QUEREVALO
1,PANAMA,4,CHIRIQUI,22,ALANJE,181,PALO GRANDE
1,PANAMA,4,CHIRIQUI,22,ALANJE,180,GUARUMAL
1,PANAMA,4,CHIRIQUI,22,ALANJE,179,EL TEJAR
1,PANAMA,4,CHIRIQUI,22,ALANJE,178,DIVALA
1,PANAMA,4,CHIRIQUI,23,BARU,175,BACO
1,PANAMA,4,CHIRIQUI,23,BARU,172,PUERTO ARMUELLES
1,PANAMA,4,CHIRIQUI,23,BARU,173,LIMONES
1,PANAMA,4,CHIRIQUI,23,BARU,174,PROGRESO
1,PANAMA,4,CHIRIQUI,23,BARU,176,RODOLFO AGUILAR DELGADO
1,PANAMA,4,CHIRIQUI,24,BOQUERON,171,TIJERAS
1,PANAMA,4,CHIRIQUI,24,BOQUERON,169,PARAISO
1,PANAMA,4,CHIRIQUI,24,BOQUERON,170,PEDREGAL
1,PANAMA,4,CHIRIQUI,24,BOQUERON,168,GUAYABAL
1,PANAMA,4,CHIRIQUI,24,BOQUERON,164,BOQUERON
1,PANAMA,4,CHIRIQUI,24,BOQUERON,165,BAGALA
1,PANAMA,4,CHIRIQUI,24,BOQUERON,166,CORDILLERA
1,PANAMA,4,CHIRIQUI,24,BOQUERON,167,GUABAL
1,PANAMA,4,CHIRIQUI,25,BUGABA,156,VOLCAN
1,PANAMA,4,CHIRIQUI,25,BUGABA,157,EL BONGO
1,PANAMA,4,CHIRIQUI,25,BUGABA,145,LA CONCEPCION
1,PANAMA,4,CHIRIQUI,25,BUGABA,146,ASERRIO DE GARICHE
1,PANAMA,4,CHIRIQUI,25,BUGABA,147,BUGABA
1,PANAMA,4,CHIRIQUI,25,BUGABA,149,GOMEZ
1,PANAMA,4,CHIRIQUI,25,BUGABA,150,LA ESTRELLA
